carrier,airport,scheduled_departure,actual_departure,delay,date,day,month
Flair Airlines,YYZ,2025-07-20T09:10:00Z,2025-07-20T09:30:00Z,20,2025-07-20,20,Jul
WestJet,YYZ,2025-06-09T09:45:00Z,2025-06-09T10:06:00Z,21,2025-06-09,9,Jun
Porter Airlines,YVR,2025-07-22T17:00:00Z,2025-07-22T17:15:00Z,15,2025-07-22,22,Jul
Air Canada,YWG,2025-03-16T06:05:00Z,2025-03-16T06:12:00Z,7,2025-03-16,16,Mar
Air Canada,YYZ,2025-12-01T13:30:00Z,2025-12-01T13:59:00Z,29,2025-12-01,1,Dec
WestJet,YVR,2025-02-20T03:15:00Z,2025-02-20T03:39:00Z,24,2025-02-20,20,Feb
Jazz Aviation,YYT,2025-10-04T09:50:00Z,2025-10-04T10:06:00Z,16,2025-10-04,4,Oct
Flair Airlines,YHZ,2025-02-21T14:10:00Z,2025-02-21T14:30:00Z,20,2025-02-21,21,Feb
WestJet,YVR,2025-06-09T15:00:00Z,2025-06-09T15:16:00Z,16,2025-06-09,9,Jun
Air Canada,YQR,2025-08-18T08:35:00Z,2025-08-18T08:51:00Z,16,2025-08-18,18,Aug
WestJet,YVR,2025-06-29T16:40:00Z,2025-06-29T16:55:00Z,15,2025-06-29,29,Jun
Air Canada,YXX,2025-12-26T06:00:00Z,2025-12-26T06:30:00Z,30,2025-12-26,26,Dec
Air Canada,YHZ,2025-02-16T11:45:00Z,2025-02-16T12:16:00Z,31,2025-02-16,16,Feb
Air Canada,YHZ,2025-07-14T16:25:00Z,2025-07-14T16:55:00Z,30,2025-07-14,14,Jul
PAL Airlines,YYT,2025-07-11T21:10:00Z,2025-07-11T21:25:00Z,15,2025-07-11,11,Jul
Porter Airlines,YVR,2025-09-30T16:40:00Z,2025-09-30T16:52:00Z,12,2025-09-30,30,Sep
PAL Airlines,YEG,2025-12-22T01:25:00Z,2025-12-22T01:58:00Z,33,2025-12-22,22,Dec
Jazz Aviation,YQR,2025-03-04T16:05:00Z,2025-03-04T16:09:00Z,4,2025-03-04,4,Mar
Air Canada,YOW,2025-05-01T09:45:00Z,2025-05-01T09:52:00Z,7,2025-05-01,1,May
Air Canada,YVR,2025-09-29T11:40:00Z,2025-09-29T11:57:00Z,17,2025-09-29,29,Sep
Air Canada,YYZ,2025-06-17T14:00:00Z,2025-06-17T14:28:00Z,28,2025-06-17,17,Jun
Jazz Aviation,YYZ,2025-06-23T09:35:00Z,2025-06-23T09:58:00Z,23,2025-06-23,23,Jun
PAL Airlines,YEG,2025-12-11T09:35:00Z,2025-12-11T10:13:00Z,38,2025-12-11,11,Dec
WestJet,YHZ,2025-03-13T05:55:00Z,2025-03-13T06:02:00Z,7,2025-03-13,13,Mar
Air Canada,YVR,2025-11-23T07:10:00Z,2025-11-23T07:23:00Z,13,2025-11-23,23,Nov
Jazz Aviation,YEG,2025-02-06T14:40:00Z,2025-02-06T15:06:00Z,26,2025-02-06,6,Feb
PAL Airlines,YQB,2025-05-02T11:35:00Z,2025-05-02T12:03:00Z,28,2025-05-02,2,May
Air Canada,YWG,2025-11-28T09:55:00Z,2025-11-28T10:15:00Z,20,2025-11-28,28,Nov
Porter Airlines,YHZ,2025-04-23T08:15:00Z,2025-04-23T08:36:00Z,21,2025-04-23,23,Apr
Air Canada,YEG,2025-04-25T04:40:00Z,2025-04-25T05:01:00Z,21,2025-04-25,25,Apr
Flair Airlines,YVR,2025-03-29T20:45:00Z,2025-03-29T21:02:00Z,17,2025-03-29,29,Mar
Porter Airlines,YYC,2025-07-09T08:55:00Z,2025-07-09T09:20:00Z,25,2025-07-09,9,Jul
Air Canada,YOW,2025-11-29T10:05:00Z,2025-11-29T10:28:00Z,23,2025-11-29,29,Nov
Porter Airlines,YYC,2025-04-07T20:05:00Z,2025-04-07T20:17:00Z,12,2025-04-07,7,Apr
Air Canada,YQB,2025-08-09T14:50:00Z,2025-08-09T14:57:00Z,7,2025-08-09,9,Aug
Air Canada,YYT,2025-07-12T06:05:00Z,2025-07-12T06:20:00Z,15,2025-07-12,12,Jul
WestJet,YVR,2025-09-07T08:50:00Z,2025-09-07T09:09:00Z,19,2025-09-07,7,Sep
Air Canada,YOW,2025-07-21T03:25:00Z,2025-07-21T03:33:00Z,8,2025-07-21,21,Jul
Air Canada,YWG,2025-11-08T13:05:00Z,2025-11-08T13:32:00Z,27,2025-11-08,8,Nov
Jazz Aviation,YEG,2025-04-18T11:00:00Z,2025-04-18T11:20:00Z,20,2025-04-18,18,Apr
Air Transat,YYT,2025-09-18T08:15:00Z,2025-09-18T08:26:00Z,11,2025-09-18,18,Sep
